Date,Used
11/1/2011,587
11/2/2011,578
11/3/2011,600
11/4/2011,599
11/5/2011,678
11/6/2011,555
11/7/2011,650
11/8/2011,700
11/9/2011,600
11/10/2011,550
11/11/2011,600
11/12/2011,610
11/13/2011,590
11/14/2011,595
11/15/2011,601
11/16/2011,700
11/17/2011,650
11/18/2011,620
11/19/2011,645
11/20/2011,650
11/21/2011,639
11/22/2011,620
11/23/2011,600
11/24/2011,550
11/25/2011,600
11/26/2011,610
11/27/2011,590
11/28/2011,595
11/29/2011,601
11/30/2011,700
12/1/2011,650
12/2/2011,620
12/3/2011,645
12/4/2011,650
12/5/2011,639
12/6/2011,620
12/7/2011,600
12/8/2011,550
12/9/2011,600
12/10/2011,610
12/11/2011,590
12/12/2011,595
12/13/2011,601
12/14/2011,700
12/15/2011,650
12/16/2011,620
12/17/2011,645
12/18/2011,650
12/19/2011,639
12/20/2011,620
12/21/2011,600
12/22/2011,550
12/23/2011,600
12/24/2011,610
12/25/2011,590
12/26/2011,750
12/27/2011,750
12/28/2011,666
12/29/2011,678
12/30/2011,800
12/31/2011,750
